EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
2,3,2,2,75,3,3,3,2,2,3,2,2,3,0,2,200,1,0,0,2
2,5,2,2,22,3,3,3,2,2,3,2,2,3,6,1,119,4,1000,0,2
2,5,2,2,60,3,3,3,2,2,3,2,2,3,0,2,120,1,0,0,2
3,2,3,3,48,4,4,2,3,3,3,4,3,2,0,1,98,7,9,-2,3
3,4,3,1,53,4,4,4,1,1,4,2,2,2,4,2,200,3,3,-1,3
2,4,2,2,41,3,3,3,2,2,3,2,2,3,5,2,50,12,40,2,2
2,2,2,2,53,3,3,3,2,2,3,2,2,3,1,1,46,4,2,-1,2
2,2,2,2,72,3,3,3,2,2,3,2,2,3,0,1,187,1,0,-4,2
2,3,2,2,50,3,3,3,2,2,3,2,2,3,0,2,260,6,4,1,2
1,5,5,1,39,4,4,5,1,1,5,1,1,3,2,1,119,4,8,2,1
2,4,2,2,53,3,3,3,2,2,3,2,2,3,0,2,130,6,4,0,2
2,5,2,2,50,3,3,3,2,2,3,2,2,3,1,2,138,9,1000,0,2
3,2,3,4,65,4,4,1,3,1,3,3,2,3,1,2,80,1,2,0,3
1,4,3,1,47,4,4,3,1,3,5,3,3,2,1,2,103,4,4,2,2
2,5,2,2,70,3,3,3,2,2,3,2,2,3,0,2,80,3,0,-3,2
2,5,2,2,51,3,3,3,2,2,3,2,2,3,0,2,195,4,0,0,2
3,3,4,5,81,2,4,1,5,1,1,3,2,3,1,2,115,3,0,0,5
2,5,2,2,28,3,3,3,2,2,3,2,2,3,2,1,210,4,5,1,2
2,2,3,3,68,4,4,1,4,4,5,4,4,2,-1,1,190,4,1000,-1,2
2,2,2,2,74,3,3,3,2,2,3,2,2,3,0,2,114,3,0,-1,2
2,3,2,2,78,3,3,3,2,2,3,2,2,3,1,2,119,1,0,1,2
2,1,2,2,54,3,3,3,2,2,3,2,2,3,1,2,90,3,8,0,2
2,3,2,2,79,3,3,3,2,2,3,2,2,3,0,2,140,12,9,2,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,-1,1,300,4,10,1,2
2,5,2,2,56,3,3,3,2,2,3,2,2,3,1,2,119,4,3,2,2
2,3,2,2,38,3,3,3,2,2,3,2,2,3,3,2,119,4,0,1,2
2,5,2,2,61,3,3,3,2,2,3,2,2,3,0,2,120,6,1000,9,2
1,4,2,1,67,1,1,2,3,1,5,4,1,4,0,2,40,4,1,1,3
2,1,2,2,80,3,3,3,2,2,3,2,2,3,0,2,230,3,0,0,2
2,5,2,2,75,3,3,3,2,2,3,2,2,3,-4,2,230,3,1,1,2
2,5,2,1,61,4,4,4,2,3,2,3,2,2,0,2,100,4,1,-2,2
3,5,1,1,67,4,4,2,1,2,2,3,3,4,-1,1,164,4,4,2,1
2,3,2,2,65,3,3,3,2,2,3,2,2,3,1,2,300,3,0,2,2
2,4,2,2,69,3,3,3,2,2,3,2,2,3,0,2,150,4,0,0,2
2,3,2,2,45,3,3,3,2,2,3,2,2,3,0,2,240,4,2,0,2
2,3,2,2,53,3,3,3,2,2,3,2,2,3,6,2,100,3,0,3,2
2,3,2,2,74,3,3,3,2,2,3,2,2,3,1,2,119,1,0,1,2
2,4,2,2,58,3,3,3,2,2,3,2,2,3,0,1,60,4,3,1,2
2,2,2,2,75,3,3,3,2,2,3,2,2,3,3,1,100,1,2,4,2
